Database;Keyword;Seed keyword;Page;Topic;Page type;Tags;Volume;Keyword Difficulty;CPC (USD);Competitive Density;Number of Results;Intent;SERP Features;Trend;Click potential;Content references;Competitors
de;kundengewinnung;kundengewinnung;;Kundengewinnung & Leads;;;1600;20;Apr 45;0.40;113;Informational;Adwords Bottom, Video Carousel, People Also Ask, Related Searches, AI Overview, Image Pack, Video;0.30,0.66,0.66,0.66,0.66,0.79,0.79,0.79,0.66,0.66,0.54,0.66;60;;
de;kunden gewinnen;kunden gewinnen;;Kundengewinnung & Leads;;;1000;18;05. Sep;0.31;143;Informational;Related Searches, AI Overview, Site Links, Video, Video Carousel, People Also Ask;0.20,1.00,1.00,0.76,0.76,1.00,1.00,1.00,0.76,0.76,0.67,0.76;20;;
de;leads generieren;leads generieren;;Kundengewinnung & Leads;;;1000;21;07. Dez;0.74;1070000;Informational, Commercial;Video, Video Carousel, People Also Ask, Related Searches, AI Overview, Site Links;0.37,0.84,0.68,0.68,0.46,0.68,0.68,0.84,0.31,0.52,0.46,0.68;20;;
de;b2b leadgenerierung;leadgenerierung;;Kundengewinnung & Leads;;;880;19;15.55;0.33;132;Informational;Site Links, Reviews, Video, People Also Ask, Related Searches, AI Overview;0.16,0.76,1.00,0.67,0.76,1.00,0.67,0.67,0.67,0.55,0.55,0.55;20;;
de;neukundengewinnung b2b;neukundengewinnung b2b;;Kundengewinnung & Leads;;;590;20;Jul 33;0.10;131;Informational;People Also Ask, Related Searches, AI Overview, Video;0.23,0.67,0.67,0.67,0.67,1.00,0.44,0.81,0.81,0.67,0.81,1.00;75;;
de;b2b neukundengewinnung;neukundengewinnung b2b;;Kundengewinnung & Leads;;;480;11;Jul 33;0.10;129;Informational;People Also Ask, Related Searches, Adwords Middle, AI Overview, Video, Video Carousel;0.19,0.54,0.54,0.54,0.23,0.81,0.67,1.00,0.67,0.67,0.67,0.54;75;;
de;leadgenerierung b2b;leadgenerierung;;Kundengewinnung & Leads;;;480;18;13.14;0.16;131;Informational;Related Searches, AI Overview, Site Links, Video, Video Carousel, People Also Ask;0.29,1.00,1.00,0.81,1.00,0.81,0.81,0.81,0.66,0.66,0.66,0.66;20;;
de;neue kunden gewinnen;kunden gewinnen;;Kundengewinnung & Leads;;;480;17;Mrz 85;0.31;129;Informational, Commercial;Video, Video Carousel, People Also Ask, Related Searches, AI Overview, Site Links;0.14,0.59,0.59,0.72,0.72,1.00,0.48,1.00,1.00,0.72,0.72,0.88;20;;
de;b2b leads generieren;leads generieren;;Kundengewinnung & Leads;;;320;21;15. Jan;0.26;327000;Informational;People Also Ask, Related Searches, AI Overview, Site Links, Video, Video Carousel;0.43,0.81,1.00,0.54,0.81,0.66,1.00,1.00,1.00,0.66,0.54,1.00;20;;
de;online kunden gewinnen;kunden gewinnen;;Kundengewinnung & Leads;;;320;10;Sep 66;0.11;129;Informational;Video, Video Carousel, People Also Ask, Related Searches, AI Overview;0.11,0.66,0.66,0.66,0.66,0.66,0.66,0.81,1.00,0.54,0.66,1.00;90;;
de;leads generieren b2b;leads generieren;;Kundengewinnung & Leads;;;260;22;15. Jan;0.26;131;Informational, Commercial;Site Links, Video, Video Carousel, People Also Ask, Related Searches, AI Overview;0.43,0.66,0.66,0.43,0.81,1.00,0.66,0.66,0.81,0.54,0.43,0.66;20;;
de;mehr kunden gewinnen;kunden gewinnen;;Kundengewinnung & Leads;;;260;11;Apr 60;0.45;131;Informational;Site Links, Reviews, Video, Video Carousel, People Also Ask, Related Searches, AI Overview;0.10,0.66,0.82,0.66,0.82,1.00,0.53,0.82,0.82,0.53,0.53,0.66;20;;
de;digitale kundengewinnung;kundengewinnung;;Kundengewinnung & Leads;;;170;7;Mai 20;0.21;204;Informational;AI Overview, Video, People Also Ask, Related Searches;0.05,0.12,0.53,0.53,0.66,0.66,0.53,1.00,0.66,0.53,0.43,0.35;75;;
de;leadgenerierung social media;leadgenerierung;;Kundengewinnung & Leads;;;170;10;0.00;0.13;132;Informational;Site Links, Reviews, Video, People Also Ask, AI Overview;0.07,1.00,0.80,0.80,0.80,0.65,0.80,0.65,0.65,0.65,0.65,0.53;20;;
de;online leadgenerierung;leadgenerierung;;Kundengewinnung & Leads;;;170;29;Jul 65;0.12;130;Informational;AI Overview, Reviews, Video, Adwords Bottom, Video Carousel, People Also Ask, Related Searches;0.34,0.81,1.00,0.53,0.28,0.43,0.65,0.53,0.43,0.21,0.43,0.81;75;;
